text,label,domain
"Билэргит курдук, бу хамсааһыҥҥа оскуола оҕолоруттан кырдьаҕаһыгар тиийэ бары кытыннылар.",neutral,kyym
"Тоҕо диэтэххэ, бу реформа биир сүрүнэ диэн күн бүгүн Россия үрдүнэн олохтоох бэйэни салайыныы уорганнара дьиҥнээхтик боломуочуйаларын толороллоругар үптэрэ-харчылара тиийбэтин быһаарыы буолуохтаах.",neutral,kyym
"Ол онтон оҕолор, төрөппүттэр эрэ буолбакка, Бүлүү барыта киэн туттубута, уруйдаабыта-айхаллаабыта.",positive,kyym
С. Степановтан “бу ким сирэй” диэн ыйыттым.,neutral,kyym
СонуннарОлох-дьаһахТыа хаһаайыстыбата тоҕо өнүйбэтий?,neutral,kyym
Айар үлэбин 2018 сылтан убайым Новиков Петр Иннокентьевич-Дьүкээбил сүбэтинэн  саҕалаабытым.,positive,kyym
"Үгүс уонунан сыллар анараа өттүлэригэр курдук, билигин да геолог идэтигэр арамаантыктар кэлэллэр.",positive,kyym
"Кэмниэ кэнэҕэс, балай эмэ хойутаан, «сийиэһи» тэрийээччи кимэ билиннэ – сценаҕа маанытык таҥныбыт «солбуйааччы» Д. таҕыста.",neutral,kyym
Константин оҕо эрдэҕиттэн биир умсугуйар дьарыктааҕа – массыына уонна тиэхиньикэ.,neutral,kyym
"Уһулуччу иһирэх сыһыан да буолбатар, биир уопсай ситимнээхтэр.",neutral,kyym
Н. Попов дириэктэрдээх Намнааҕы гимназия учууталлара гимназияларын таһыгар 15х24 миэтэрэлээх ааркалыы успуорт саалата туппуттара.,neutral,kyym
Быйылгы тэрээһиҥҥэ кэлбит дьон ылбыт билиэттэрин сууматын (1 тыһ.,neutral,kyym
Быйыл Кузбаска икки быһылаан бэлиэтэммит: дьиэтээҕи ыттар алталаах уонна түөртээх кыргыттары өлөрбүттэр.,negative,kyym
"ынах барыта төрөөбүт, 1 ньирэй зоотехническай нуорма муҥутуурунан эмэн, 300 л үүтү испит диэтэххэ, 22,5 тыһ.",neutral,kyym
"СонуннарУопсастыбаТоҕус “баба-яганы” суулларбыт хорсун саха уола Сонньуйан эттэххэ, быйыл куораппыт киинигэр саҥа маастар-былаанынан ууруллубут билииккэлэри көрдөххө, үчүгэйдэрэ бэрт.",positive,kyym
Биһиэхэ сылга 21%-ҥа тиийэ дохуоттаах уурунуу табыгастаах усулуобуйатын талыаххытын сөп.,neutral,kyym
"Оттон дьоҥҥо табыгастаах эрэ, суох эрэ – ол кими да долгуппат.",negative,kyym
"СонуннарБэлиитикэАлександр Жирков Башкортостаҥҥа, Госдумаҕа уонна Ямал-Ненец уокуругар сырыыта – Ол иһин саҥа дьону сыымайдаан көрсөбүн.",neutral,kyym
"Бииргэ төрөөбүт эдьиийим Валерия хореограф идэлээх, улахан быраатым Василий Сатаҕай кулуубугар оператор, аччыгый быраатым Долун куоракка Эстрада тыйаатырыгар үлэлиир.",neutral,kyym
"Министиэристибэ тула бүддьүөттэн үбүлэнэр атын тэрилтэлэр, ГБУ-лар элбэхтэр.",neutral,kyym
"Хайа да омук кэлэр кэскилин, кэнчээри ыччаты иитиигэ үйэлэр тухары муспут муудараһын эдэр көлүөнэҕэ тиэрдэр үгэстээх.",positive,kyym
"Биллэн турар, учуонайдар-устуоруктар, бар дьон даҕаны этэринэн, боростотуукка – саамай былыргы идэ.",neutral,kyym
"Өскөтүн өссө биир күннээхтэрэ буоллар, үлэ түмүгэ олох таһыччы буолуо эбитэ үһү.",neutral,kyym
"Кэлгиэлээх буолуон сөп, ону уҥуох тас өттүгэр өссө биир уһун синньигэс үөрбэ маһа көстүбүтэ туоһулуур.",neutral,kyym
Аҕыйах сылтан бэттэх Дьокуускайга КОИБ (комплекс обработки избирательных бюллетеней) диэн барытын бэйэтэ ааҕар-суоттуур тэриллэр баар буолбуттара.,neutral,kyym
"Мэниктиир, баппат, уруогу ыһар, оҕолору тыытар, улахан дьон тылын истибэт буолууну оҕо бэйэтин баҕатынан дии саныыллар.",negative,kyym
"Кэлин биһиги ыал төһө даҕаны Дьокуускайга көһөн кэллэрбит, мин манна оскуоланы бүтэрдэрбин, төрөөбүт бөһүөлэгим, сирим-дойдум курдаттыы тардар курдуга.",positive,kyym
"Бастыҥ монтажер – Жегусов Айтал, “Spectrum Light” хамаанда (кейсэ – “Peek-a-boo” буокса кулууба); Дьэ, хотулар олохпут уонна өрөспүүбүлүкэ киин улуустарын тэтимин икки арда маннык улахан араастаах.",neutral,kyym
Оччотугар учууталга үөрэҕи-билиини биэрэригэр быдан чэпчиир.,neutral,kyym
Бырайыактарбытынан барытынан да киэн туттабыт.,positive,kyym
"СанПинынан ону “киитэрэйдээн”, биир оҕоҕо хас эрэ квадратнай миэтэрэ тиийэр диэн хаттаан көрөн, уларытан аахпыттара.",negative,kyym
"Онон быйыл кыттыбыппыттан олус үөрдүм, төһөтүн да иһин эһиил оскуоланы бүтэрээри сырыттаҕым.",positive,kyym
"Бастакы кинигэбэр - ""Маршаллаах уола"" диэн  ахтыыбар  суруйааччы Кындыл Маҥан (Аммосов Афанасий)   ""Симэхтээх сэлэ""  диэн ааты иҥэрбитэ киирбитэ.",neutral,kyym
"Ол көмөтүнэн “Маят” бириискэ бөһүөлэктэригэр түргэн интэриниэт киирдэ, уолаттар сонуну түргэнник тутар, ырыаны-тойугу истэр, электроннай өҥөнү туһанар кыахтаннылар.",positive,kyym
"Чысхаан айымньытыгар Мааппа уонна Ылдьаа көҥүл тыыннаах истиҥ тапталга куустаран биэс уон сылга тэҥнээх биэс дьоллоох күнү атаарбыт буоллахтарына, М.",positive,kyym
Хомуур хамаанда чилиэннэрэ КСК иитиллээччилэригэр үтүө холобур буолаллар.,positive,kyym
"Нэһилиэктэр кыһалҕаларын барытын үөһэттэн хайдах да учуоттаабаккын, кыаллыбат.",negative,kyym
"Мин дьокутааттар соруйан харчыны оҕо аһылыгар кэмчилииллэр диэбэппин, бүддьүөккэ, чахчы, харчы суох.",negative,kyym
"Олору чөлүгэр түһэрэргэ, хаттаан тутарга сүрдээх улахан үлэлэр ыытыллыбыттара.",positive,kyym
Миэхэ эр дьон сынньана кэлэллэр.,neutral,kyym
Сүрүн аһылыга – соҕоон.,neutral,kyym
Саамай сүрүн туруорсуубут – биһиги субъект элбэх боломуочуйаны бэйэтигэр ылан сүрүн боппуруостары бэйэтэ быһаарарын курдук бырааптанарын туруорсабыт.,positive,kyym
л ыахтаахпыт” диирин кытта мөккүспүтүм уонна мөхпүтүм.,negative,kyym
"Этиһэр буолан, көмүскэнээри үүт анаалыстыыр “Клевер” ылынныбыт.",neutral,kyym
"Хомойуох иһин, учууталлар маннык ньыманы билбэттэр.",negative,kyym
Нина миигиттэн биир сыл аҕа этэ.,neutral,kyym
Мин кинилэргэ олус махтанабын.,positive,kyym
"Ол эрээри дакаастыыр кыаҕыҥ суох, сабаҕалаан этэҕин.",negative,kyym
"Дьоммут-сэргэбит араас граннары, субсидиялары туһаналларыгар дьаһалта кэмигэр өйөбүлэ, көмөтө улахан суолталаах.",positive,kyym
"Бөртө” сылгы собуота” ХЭТ өрөспүүбүлүкэ  биир бөдөҥ, уһун кэм устата таһаарыылаахтык үлэлии олорор тэрилтэтинэн буолар.",positive,kyym
"Чэ, ол эрээри Киэсэ бу хоту дойдуга кэлбитин төрүт кэмсиммэт.",neutral,kyym
Биһиги хаһаайыстыба киин улуустары кытта тэҥнэһэр кыахпыт суох.,negative,kyym
Итини Чечняҕа буолбут сэрии туоһулуур.,neutral,kyym
"Ол курдук, геологтар түстэнэн олорор, үлэлиир сирдэригэр, тулалыыр экология эйгэтин айгыратыан сөп диэн, дьөрү ыты да көҥүл көччүппэттэр.",neutral,kyym
"Аны дьон үгүстэрэ киһи ыарыйдын да биэксэр (биэлсэр) ылбыттар үһү диэн кэпсииллэр, уонна биэксэргэ кэлээччи-барааччы кэмэтэ суох.",neutral,kyym
Үйэтин тухары сүөһү үлэтиттэн илиитин араарбатах ытык киһи т/х-тын билиҥҥи туругун туһунан санаатын истиэҕиҥ.,neutral,kyym
Кини идэтинэн  художник - мастер.,neutral,kyym
"Үүнэри-сайдары өйүүллэр Ынах сүөһүбүт – 1067, ол иһиттэн 392 ыанар  ынах быйыл кыстыкка этэҥҥэ киирдилэр.",neutral,kyym
"Ол сыттахпына, убайым киирэн кэлбитэ.",neutral,kyym
"Ол иһин күнүс ыскылааппар үлэлии-үлэлии, барытын билиэх-көрүөх баҕам батарбакка, киэһээҥҥи өттүгэр күн аайы хайа маастарын кытта учаастагы кэрийсэрим, оҥорон таһаарыыны үөрэтэрим.",positive,kyym
ТХМ-тан өссө  урут “160 тыһ.,neutral,kyym
"Биһиги нэһилиэк ону бу 15 кэнники сылга дакаастаатыбыт диэхпин сөп, арбаныы курдук ылынымаҥ.",negative,kyym
"Бэйэм өйбүнэн, толкуйбунан, бу илиибинэн харчы оҥостуохпун баҕарабын.",positive,kyym
Бырабыыталыстыба дьиэтигэр 2000 сылы түмүктүүр мунньахха бу хамсааһын түмүгэ таһаарыллыбыта.,neutral,kyym
"Кэнсиэр барыта биир күдьүс ырыанан-тойугунан эрэ “күрдьэн” барбакка, быыһыгар үҥкүүлээх-битиилээх ааста.",neutral,kyym
Кыралаан уһулуу – көрүллүбэт.,neutral,kyym
"Биллэн турар, оччотооҕу ыалга үлэҕэ-хамнаска көмөлөһөөччүлэрэ оҕолоро буолаллара.",neutral,kyym
Биһиги ыал Эмискэ мин сэттис кылааска киирэр сылбар көһөн кэлбитэ.,neutral,kyym
"Кыы­һым сытар хоһун хайысхатынан көрө-көрө, курдьугунаа да курдьугунаа буолла.",positive,kyym
"Испэктээк биир сүрүн уратыта – манна классика истиилигэр майгынныыр опера баартыйалара саха төрүт үстүрүмүөннэрин тыаһын-ууһун уонна сахалыы кылыһахтаах ырыаны-тойугу кытта дьүөрэлэһэллэр, биир тэтимҥэ киирэллэр.",positive,kyym
Сааспар ким да наадыйбатаҕа.,neutral,kyym
"Аны туран, олохтоох бэйэни салайыныыга кэккэ уратылар бааллар, холобур, нэһилиэнньэ мунньаҕынан быһаарыллар боппуруостар бааллар, киэҥ иһитиннэриигэ тахсар (публичные слушания) боппуруостара бааллар.",neutral,kyym
"Кириитикэһиттэр аһаҕастык эппэтэллэр да, Ил Дарханы “кирэ”, “эриэйтинин” түһэрэ сатыыллара көстөр.",negative,kyym
"Оҕо эрдэхпиттэн мэлдьи Хампаҕа эһэлээх эбэбэр сайылыырым, кинилэр миигин үлэни таптыырга, сүрэхтээх буоларга үөрэппиттэрэ.",positive,kyym
Нэһилиэктэригэр кулууп тутулларыгар олохтоохтор бэйэлэрэ интэриэстээх буоллахтара.,positive,kyym
"Ону ситиһэрбитигэр кинилэргэ анаан финансовай куурус ыытабыт, хас биирдии кэлбит киһиэхэ ыйдааҕы дохуоттарын, ороскуоттарын ааҕан биэрэммит, сүбэ-ама биэриэхпитин сөп.",neutral,kyym
"киһи олорор кыамталаах, уулуссалара биһиэнин курдук кыараҕас.",negative,kyym
Аан дойдуга бастаан иһэллэр.,neutral,kyym
Бэйэм АГАТУ-га технолог идэтигэр кэтэхтэн 1-кы кууруһу бүтэрдим.,neutral,kyym
"Ол курдук, улахан куораттарга дьахтар эрэллээх буолуутугар соччо наадыйбаттар эбит (18% эрэ сыаналыыбын диэбит), оҕону таптыахтаах диэн эмиэ эппэтэхтэр (17 %), ха­һаайыстабанньаҥын (12 %) да, буортулаах дьаллыктаа­ҕын-суоҕун да (12 %) сыаналаабат буолбуттар.",negative,kyym
"Оттон саамай элбэх үп, куорат бүддьүөтүн 70 бырыһыана оскуолаҕа барар.",neutral,kyym
2005 сыллаахха Петр Семенович Ефремов дьаһалынан “Бөртө” сылгы собуота” ХЭТ диэн буолбуппут.,neutral,kyym
Кыһалҕа кыһыл кымньыылаах дииллэрэ чахчы.,neutral,kyym
Онтон күһүн “балаҕан ыйын 6 күнүгэр Москубаҕа М.,neutral,kyym
"Биир күн үрдүбэр саба түһэн, ыһыы-хаһыы бөҕө буолбутум.",negative,kyym
"Ыраах Греция арыытыгар, муора биэрэгэр оҕолорун кытта оһуокайдаан эйээрбитин, саха тойугунан грек омуктары сөхтөрбүтүн ансаамбыл оҕолоро бары да киэн тутта истибиттэрэ.",positive,kyym
"Онон, хайыахтарай, кэлии дьону үлэҕэ ылан, олохсутан үлэлэтэллэр.",neutral,kyym
Оттон  массыына-көмпүүтэрдэр бэйэлэригэр үлэлии олороллор.,neutral,kyym
Кини буруйданааччыга  2 250 000 солкуобайы төлөөбүт.,neutral,kyym
"150-ча массыына, 100-кэ трактор баар.",neutral,kyym
Оттон архыыптаммыт блок туһунан информация кыра-кыралаан криптовалютанан дьарыктанар аан дойду дьонун көмпүүтэрдэригэр барыларыгар хараллар.,neutral,kyym
"Ансаамбыл коллектива улаатан, сылдьар ыыра кэҥээн, толорор маастарыстыбата үрдээн барбыта.",positive,kyym
Ол эрээри биир түүн биэстэн элбэх сакааһы ылбаппын.,neutral,kyym
"Александр ПАВЛОВ: “20-тэн тахса сыл үлэлиирим тухары үлэһиттэргэ диэн ааттаан, 60-тан тахса дьиэни туттардыбыт.",positive,kyym
Ону хочуолбун отторго туттабын.,neutral,kyym
а. син биир баар буолар.,neutral,kyym
"Ити курдук айар куттаах дьон, түмсэн дуоһуйа кэпсэтэн, санаа үллэстэн, инники былааннары торумнаан, күүс-уох, сэниэ бөҕө эбинэн, бары астынан-дуоһуйан тарҕастыбыт.",positive,kyym
Арай ити 57 гааттан 60%-на туһаҕа таҕыстын уонна ити сири тупсарар дьаһаллар түмүктэринэн сыл ахсын биир гааттан 2 т итэҕэһэ суох өлгөм үүнүүнү биэрдин?,neutral,kyym
"2 дьиэ 8х10, биир дьиэ 9х12-лээх, ону 2 кыбартыыралаах гына оҥордубут.",neutral,kyym
"Билигин криптовалюта оҥорон Иркутскай, Красноярскай, Хакасия биирдиилээн ыаллара туох да сүрдээхтик байан бардылар.",positive,kyym
"Табаhыттар Арассыыйатааҕы сойуустарын тэрээhиннэригэр Чукотка, Сахалин, Тыва, Саха сирин, Хабаровскай кыраай уо.",neutral,kyym
"Бу сибиинньэлэр турар сирдэрин үлтү хаһан, буору илдьиритэн, уоҕурдан оҕуруокка туһанарга  олус бэрт гына оҥоруох эбиттэр.",neutral,kyym
"Аллеябытын туппуппут, дьоруойдар боруонса бүүстэрин маннааҕы скульптордарга оҥорторбуппут.",positive,kyym
Саввин төлөпүөнүн мастарыскыайга илдьибитигэр “өрөмүөн 26 тыһ.,neutral,kyym
"Бу идэни аҕам сүбэтинэн талан ылан, “Кини дьыалатыгар тэҥҥэ үлэлэһиэм” диэн санааттан үөрэммитим.",positive,kyym
"Ол туһугар МКД-лар кэлэктиибинэй (бүтүн дьиэни ааҕар-учуоттуур, салгыы – ОДПУ), ону тэҥэ кыбартыыра иһигэр ресурсалары учуоттуур тэрилинэн (салгыы – ИПУ) хааччыллыбыт буолуохтаахтар.",neutral,kyym
"Куонкурус кыайыылаахтарын быһаарар, бырайыактары билиһиннэрэр түмүк тэрээһин ахсынньы 8 күнүгэр буолла.",neutral,kyym
"Төрүөтэ, кыыс кыратыттан ыарыһах, мөлтөх этэ.",negative,kyym
20 %-на дьиҥнээх тапталы күүтэрин билиммит.,positive,kyym
Маҥнай орто оскуола дириэктэрин солбуйааччытын кытта эгил-тэгил  испиппит.,neutral,kyym
"Ытан суулларбатыннар диэн, аллараа өттүн тимир куйахтыыр буолбуттар.",neutral,kyym
"Билигин чопчу быһаарыстахпытына, кэлэр сылларга ньыматын уларытыахха да сөп.",neutral,kyym
Быйыл үс суорт хортуоппуйу олордубуппут.,neutral,kyym
"Мин Нина Николаевнаны кытта араас испэктээккэ, араас сыанаҕа бииргэ ыллаабытым.",neutral,kyym
"Кылгас кэмҥэ сыал туруорунан, харчыбытын (дохуоппутун, ороскуоппутун) ааҕынабыт.",neutral,kyym
Киниэхэ 145 чилиэннээх сойуустан 81 киһи кэлбититтэн 45 чилиэн куоластаабыт.,neutral,kyym
"Биир мас сыаната кээмэйиттэн, боруодатыттан уонна төһө ыраах сиргэ кэрдэллэриттэн тутулуктаах.",neutral,kyym
Билигин дьиэ кэргэн бүддьүөтүн суоттанабыт-учуоттанабыт.,neutral,kyym
"Только для пайщиков СКПК ""Ссудо-Сберегательный Союз"".",neutral,kyym
"Көмүс ытарҕатын эйэҥэлэтэн, суумкатыттан көмүс бөҕөхтөөх швейцарскай чаһытын иилинэр.",neutral,kyym
Үбүлээһинэ - 130 мөл.,neutral,kyym
Биткоин ахсаана эмиэ хааччахтаах – 21 мөл.,neutral,kyym
"Тус бэйэм төрөөбүт дойдубар үлэлиир буоламмыт, сиргэ-уокка ытыктабыллаахтык, харыстабыллаахтык сыһыаннаһабын, олус таптыыбын.",positive,kyym
"Холобур, соторутааҕыта АЛРОСА хампаанньа М.",neutral,kyym
"Оҕо улааппытын эрэ кэннэ маннык “ыарыылааҕын” билбит эбэтэр сэрэйбит буоллаххытына, кими да буруйдаабакка, күүһү оҕону ылыныыга, өйүүргэ ыытыахтааххыт.",positive,kyym
"Билигин, сааһырбыт киһиэхэ бу аатым барсара дуу, суоҕа дуу диэн арыт толкуйдаан ылабын.",neutral,kyym
"Эбэн эттэххэ, аны сотору кэминэн уулусса иккис аҥаара ити курдук тупсарыллыахтаах.",positive,kyym
"Биллэн турар, бэлэм харда, хоруй суох, тоҕо диэтэххэ, соцреализм бэрэстэбиитэлэ буолбатахтар.",neutral,kyym
диэн кэпсиир Евдокия Бандерова.,neutral,kyym
"Уурунуу үпкэ-харчыга сыһыаннааҕы – олорор дьиэни атыылаһыыны, үөрэх төлөбүрүн эбэтэр бэйэ дьарыгын тэриниини  уһун кэмҥэ торумнуурга төһүү буолар.",neutral,kyym
Оттон дьахтар уонна эр киһи сыһыана онуоха биир “ингредиент” эрэ.,neutral,kyym
Накыыннааҕы сир баайдаах сиргэ массыынаны өрөмүөннүүр силиэсэр үлэтэ – сир баайын хостуур тиэхиньикэ-массыына тохтоло суох үлэтин хааччыйарга кырата суох суолталаах тутаах идэ.,positive,kyym
"Олорор усулуобуйабыт, олохпут-дьаһахпыт маннааҕар быдан мөлтөх бөҕө буоллаҕа.",negative,kyym
"Кэнники ыйдарга турниктарга, ол иннинэ    скалодромҥа дьарыктаммытым.",neutral,kyym
"Тыа сиригэр мээнэ сылдьыбат уонна сылдьыбатаҕым ырааппыт буолан, туох эрэ үчүгэйи, үтүөнү, сэргэх сэһэни истээри испэр долгуйабын.",positive,kyym
"Барбытым кэннэ салҕаабыттара да, кэнники сылларга мөлтүү  быһыытыйбыта.",negative,kyym
Ону Екатерина Корякина чаҕылхайдык толорбута.,positive,kyym
Бырамыысыланнас киэнэ өссө үрдүк буолуохтаах.,neutral,kyym
"Дьиктитэ диэн, боросто­туукканы ордук ойохтоох дьон сакаастыыр.",neutral,kyym
Биһиги хас биирдиилэригэр эрэнэбит”.,positive,kyym
"Дьон эмиэ көхтөөхтүк кытынна, актыбыыстар нэһилиэктэртэн барытыттан икки мөлүйүөн солкуобайы хомуйдулар.",positive,kyym
"Ол да буоллар, Егор олоҕун-үлэтин суола кинини Мииринэйгэ мээнэҕэ аҕалбатаҕар эрэнэр.",positive,kyym
"Үп-харчы туһунан билии уонна уурунуу – бу көннөрү сатабыл эрэ буолбакка, инники байылыат уонна туруктаах олоххо ааны арыйар тутаах үстүрүмүөн буолар.",positive,kyym
Эргэ дьиэлэри суулларан баран тутарга харчы эмиэ суох.,negative,kyym
"Ээ, дьэ эрэ, олоҥхоҕор кимнээх оруолларын толороҕун?",neutral,kyym
Ол кэнниттэн билигин болдьоҕун икки төгүл уһаппыттарыгар хаттаан этиилэрбитин киллэрэн олоробут.,neutral,kyym
тан тайҕаҕа көһөн олоробут.,neutral,kyym
"Наһаа субу-субу уларыйар буоллаҕына, ыарыыга ылларыахха сөп.",neutral,kyym
Кэнники оҕолору барыларын эдьиийдэрэ Вера үөрэппитэ.,neutral,kyym
"Экэниэмикэ, инфраструктура сайдар, инбэстииссийэ, имидж өттүнэн кэрэхсэбилэ улаатар.",positive,kyym
"Сымнаҕас, сиргэмтэҕэ суоҕа. Бултуурбар үксүн сиэтэ сылдьааччыбын.",positive,kyym
"Иккиэн куттанан, бука, сэрэйдэххэ, өллүбүт дии санаан күүскэ куустуһан олорбуттар.",negative,kyym
"диэн сибиги­нэһэллэрин истэн, ыар баттык санааҕа ылларан утуйбутум.",negative,kyym
"Дорогая, дьон дьиҥ олоҕунан олороллор, кинигэнэн буолбатах.",neutral,kyym
"Баҕар, притоннар, “мамкалаах-папкалаах” сулууспаларга баара буолуо эрээри, мин оннугу билбэппин.",negative,kyym
"Эдэр дьон үөрэхтэрин бүтэрбиттэрин да иһин, тыа сиригэр төннүбэттэр.",negative,kyym
"Быйыл мас тардыһыытыгар эр дьон, дьахталлар уонна бэрээтээннэр Дьобуруопатааҕы чөмпүйэнээттэрэ, ону тэҥэ 18-гар диэри саастаах ыччат дьон биирдиилээн бастыыр иһин күрэхтэрэ ахсынньы 12 – 16 күннэригэр Грузия Цхалтубо куоратыгар ыытыллыахтааҕа.",neutral,kyym
"2023 с[DOT] – Госдума сокуону ылын-наҕына, нэһилиэккэ дьокутааттар уонна баһылыктар суох буолуохтаахтар.",neutral,kyym
"Өссө биир анала – кыһыҥҥы хаһылыкка, хаары алдьатан сири тоҥорор.",neutral,kyym
Бу сыллар тухары биһиги улууспутугар “Үтүө дьыала” хамсааһыныгар күүскэ үлэлэһэн кэлбиппит.,positive,kyym
"Ол иһин арҕаа дойдулар ити кэмҥэ араас «бырабыыталыстыбаннайа суох» тэрилтэлэр, пуондалар нөҥүө күүстээх үлэни ыыппыттара.",neutral,kyym
"Бэстибээли тэрийээччи, СӨ Аччыгый академиятын креативнай индустрияҕа настаабынньыга Сергей Захлинюк Калининград уобалаһыгар Талааннаах оҕолору сайыннарар кииҥҥэ научнай-мэтэдьиичэскэй үлэҕэ дириэктэри солбуйааччы этэ.",neutral,kyym
"Оттон алмаас көмүстээҕэр күндү, үрүҥ көмүстээҕэр ыраас уонна тимирдээҕэр кытаанах.",positive,kyym
"Хайыахпыный, дьону таһырдьа бырахпат буоллаҕым дии.",negative,kyym
"Холобура, ипэтиэкэ, кыбартыыра төлөбүрүн хойутаппакка төлүүбүт дии, ол курдук буолуохтаах.",neutral,kyym
диэн санааттан Таатта лиссиэйин 4-с кылааһын туйгун үөрэнээччитэ Валерия Румянцевалыын ирэ-хоро кэпсэттим.,positive,kyym
Убайа киниэхэ куруук холобур.,positive,kyym
"Дьэ, оччоҕуна эрэ оҕо уоскуйан, уруокка интэриэһин ууран, 15 мүнүүтэ үөрэниэн сөп.",positive,kyym
Зеленскэй бу эпэрээссийэтин байыаннай сыалын НАТО да билбэт эбит.,negative,kyym
"Оттон онно ханнык идэҕэ үөрэнэн, хайдах үлэҕэ киириэххин сөбүн туһунан элбэхтик кэпсээбэттэрэ.",negative,kyym
"Мин 4 км бүтэйинэн эргитиллэр мэччирэҥ буолуохтаах сирим ортотугар күөл баар, урут кус ытар эбэбит этэ.",neutral,kyym
"Онон дьон-сэргэ хараҕын далыгар, наада буоллаҕына сынньанан да ааһалларын курдук сэлиэнньэ ортотугар тутуохха”, – диэтим.",neutral,kyym
Ону сэргэ биллэр-көстөр биир дойдулаахтарбыт эмиэ харчынан көмөлөспүттэрэ.,positive,kyym
"Онон билигин улаатаммыт, сылгыбыт-сүөһүбүт элбээн, сыл устата 25–30 туонна ынах этин, 10–12 туонна убаһа этин “Анаабыр алмаастарыгар” туттарабыт.",positive,kyym
Манна төлөпүөнүнэн мэдиссиинэ үлэһиттэрэ нэһилиэнньэни ыҥыраллар.,neutral,kyym
"Хас биирдии бырайыакка хостоон көрүү ыытыллыбыт сирин, хайалаах боруода хостоммут сирин булгуччу чөлүгэр түһэрэр үлэ эрдэттэн учуоттанан, киирэ сылдьар.",neutral,kyym
"Ол таҥара буолбут дьон мэтриэттэрэ бу саҥардыы биллибитэ, ити этиллибит таҥара буолбут дьон ону илдьэ да сылдьаачылара Боотуруускай улууһун Сүпсүк нэһилиэгин дьонноро дьүһүннэрин ойуулаан биэрбит киһи.",neutral,kyym
"Үүтүм сыатын балыйбата буоллар, син да буолуо этэ.",negative,kyym
"маастар былаанынан сөп буолар социальнай эбийиэктэр тутуллуохтара дииллэр да, 2032 сылга диэри сүрүннээн олорор дьиэ тутуутугар ити харчы кутуллуо диэн дьиксинэбин.",negative,kyym
Адьас соторутааҕыта сиэртибэлэммит сибиэһэй уҥуохтар кытта бааллара.,neutral,kyym
