text,label
"ЯПУ - 2 билигин да үчүгэйдик саныылларыттан, ахталларытттан үөрэбин",positive
Туох да мероприятие игн болбат ду,negative
тумулга оскуола5а уерэмикит да,neutral
Бэйэбиттэн 5 сыл а5а убайдаах этим онтум быйыл эмискэ эмиэ суох буолла,negative
"Билигин хас киьи олороруй, а5ыйаатылар буолуо, бары коьон",negative
Хонор этибит детсадка ол са5ана,neutral
Вячеслав Чорновил ссылка5а олоро сылдьыбыта,negative
эн миигитэн элбэ5и бутэрбиккин быьыылаах,neutral
Мин кордум да ыта сатыыбын,neutral
Нуучча да саата учугэй,positive
ким эрэ диэн кимниний,neutral
"Маай бырааьынньыгар куорат таьа, суол кытыыта барыта шашлык буолар",neutral
Кер Биьиэхэ тугун былдьатан итинник дьаабылыырый,negative
"Тото аһаабыт дьон быһыытынан, хас да буолан, таһырдьа тахсан табахтаатыбыт",positive
тумулга кпга улэлир диэн хаьан эрэ истибитим,neutral
Кинилэр улахан юлэни юлэлээтилэр эрээри ыраа5ынан ситэтэ суох,negative
Онон СЕМ кыайарын саарбахтыыбын,negative
эрэбуллэр хайдах аастылар,neutral
Манна самыыр ибиирэн туhэр,neutral
эдэр ыччат ыал бо5о буо,positive
"Мин , бииргэ бултуур уолаттарым тл порнуха бого корон утуйаллар туул туьээри)))",positive
Саамай сопко этэ5ин Бигэ52,positive
билигин соро5ор массыына5а истэбин уруккуну саныыбын,neutral
ессе аймахты инибит,neutral
Билсиhэ керсуhэ сатаабакка,negative
просто тиэрдээрин эрэ,neutral
ити Саарба Киис диэни булкуйар долбайдарга туьаайан,negative
Миигин кытта билсиэн этэ да,positive
"Аргы истэр да5аны тойон киһи аргыны хас билбэт киһиҥ киирэ-киирэ ""мэ"" анньа сылдьарын сөбүлээбэт буолуохтаах",negative
Я-5а ыйытыам этэ,neutral
96-98 спту-4 уэрэммитэр ханна5ытыый бааргыт доооо,positive
"ханна эмит атыылыыллара дуу, эбэтэр онорооччу маастар баара дуу",neutral
Сахалар оннук маннык боолаҕыт ешкалар,negative
кытаанах кэпсэтии вохсуу,negative
Беляев Игнат ханна тийдэ кэргэннэннэ да или как а может кто знает его сот скиньте плиз,neutral
Сунтаарбар барыахпын ба5ардым ийэбин а5абын а5ынным,negative
"Буо5ар5аны этэбин, дьэ кетер ааттаах эрээри кур суурэ сылдьар буолар, редко отой бу уктэтээри гынна5ына ата5ын анныттан кетен киьини соьутааччы абааьы кетере, онтон да сылтаан сурэх ыарыьах буоллум быьылаах",negative
"Оччоҕо үөрэммит справкаҕын, медосмотргын, фотоҕун, акт осмотра, паспоргын, охотбилеткын туппутунан разрешительнайга тиийэҕин",neutral
уерэттэххэ дворовай да боруода барар,positive
Уол олох бэркэ ыллыыр эбит,positive
