text,label,domain
"Тоҕо диэтэххэ, мин саныахпар, кинини кытары ыкса эт-хаан сыһыаннаһыытыгар киирэн хааллахпытына, аны чугасыһан хаалыахпытын сөп этэ.",neutral,kyym
Миленаҕа биир үчүгэй хаачыстыбатын бэлиэтиибин – наһаа үлэһит.,positive,kyym
"Бу идэни аҕам сүбэтинэн талан ылан, “Кини дьыалатыгар тэҥҥэ үлэлэһиэм” диэн санааттан үөрэммитим.",positive,kyym
Хомуур хамаанда чилиэннэрэ КСК иитиллээччилэригэр үтүө холобур буолаллар.,positive,kyym
Бу идэлэргэ үөрэтэр үһүс симиэнэ кыттыылаахтара аан бастаан холоммуттара.,neutral,kyym
"Онон дьон-сэргэ хараҕын далыгар, наада буоллаҕына сынньанан да ааһалларын курдук сэлиэнньэ ортотугар тутуохха”, – диэтим.",neutral,kyym
"Онуоха, ол кыыл кинилэртэн арахпатах.",neutral,kyym
Итини Чечняҕа буолбут сэрии туоһулуур.,neutral,kyym
Өй­дөөҕүн даҕаны аҕыйахтык көрөрүм.,neutral,kyym
"Ону ситиһэрбитигэр кинилэргэ анаан финансовай куурус ыытабыт, хас биирдии кэлбит киһиэхэ ыйдааҕы дохуоттарын, ороскуоттарын ааҕан биэрэммит, сүбэ-ама биэриэхпитин сөп.",neutral,kyym
"Дьэ, онно ырыынак усулуобуйатыгар саҥа структуралары тэрийэн барбыта.",neutral,kyym
"Арай кэлэр-барар сирэ суох хааллаххытына, ханна кэлэргитин билэҕит”, – диэн судургутук хоруйдуура.",neutral,kyym
"Түөрт сыл иһигэр 1-кы эрэсэрээттээх тустууктан олимпийскай чөмпүйүөн, аан дойду үс төгүллээх чөмпүйүөнэ буола үүнэрэ киһи өйүгэр баппат холобур.",positive,kyym
"Уурунуу үпкэ-харчыга сыһыаннааҕы – олорор дьиэни атыылаһыыны, үөрэх төлөбүрүн эбэтэр бэйэ дьарыгын тэриниини  уһун кэмҥэ торумнуурга төһүү буолар.",neutral,kyym
"Ол түмүгэр, обургу оҕолор оонньуур, успуордунан дьарыктанар былаһааккалара тутуллубута.",neutral,kyym
