"annotation_id","annotator","created_at","id","lead_time","label","text","updated_at"
1,"1","2025-02-11T12:03:56.024797Z",1,16.561,"Negative","Зеленскэй бу эпэрээссийэтин байыаннай сыалын НАТО да билбэт эбит.","2025-02-11T12:03:56.024878Z"
2,"1","2025-02-11T12:16:53.641475Z",2,775.507,"Neutral","Тоҕо диэтэххэ, мин саныахпар, кинини кытары ыкса эт-хаан сыһыаннаһыытыгар киирэн хааллахпытына, аны чугасыһан хаалыахпытын сөп этэ.","2025-02-11T12:16:53.641568Z"
3,"1","2025-02-11T12:17:02.235832Z",3,7.22,"Positive","Миленаҕа биир үчүгэй хаачыстыбатын бэлиэтиибин – наһаа үлэһит.","2025-02-11T12:17:02.235911Z"
4,"1","2025-02-11T12:17:52.353546Z",4,48.784,"Positive","Сымнаҕас, сиргэмтэҕэ суоҕа. Бултуурбар үксүн сиэтэ сылдьааччыбын.","2025-02-11T12:17:52.353632Z"
5,"1","2025-02-11T12:18:10.932081Z",5,16.365,"Positive","Бу идэни аҕам сүбэтинэн талан ылан, “Кини дьыалатыгар тэҥҥэ үлэлэһиэм” диэн санааттан үөрэммитим.","2025-02-11T12:18:10.932167Z"
6,"1","2025-02-11T12:21:17.226944Z",6,184.704,"Neutral","Айаҥҥа ийэбит атааран айгыстыбат идэлээҕэ.","2025-02-11T12:21:17.227024Z"
7,"1","2025-02-11T12:21:29.005797Z",7,10.238,"Positive","Хомуур хамаанда чилиэннэрэ КСК иитиллээччилэригэр үтүө холобур буолаллар.","2025-02-11T12:21:29.005878Z"
8,"1","2025-02-11T12:23:25.025257Z",8,113.916,"Neutral","Бу идэлэргэ үөрэтэр үһүс симиэнэ кыттыылаахтара аан бастаан холоммуттара.","2025-02-11T12:23:25.025336Z"
9,"1","2025-02-11T12:26:24.608815Z",9,177.962,"Neutral","Онон дьон-сэргэ хараҕын далыгар, наада буоллаҕына сынньанан да ааһалларын курдук сэлиэнньэ ортотугар тутуохха”, – диэтим.","2025-02-11T12:26:24.608899Z"
10,"1","2025-02-11T12:26:32.227590Z",10,5.547,"Neutral","Онуоха, ол кыыл кинилэртэн арахпатах.","2025-02-11T12:26:32.227675Z"
11,"1","2025-02-11T12:26:56.797262Z",11,23.263,"Neutral","Итини Чечняҕа буолбут сэрии туоһулуур.","2025-02-11T12:26:56.797340Z"
12,"1","2025-02-11T12:27:18.975744Z",12,20.587,"Negative","Арай кыһын ЯТЭК гаас хостуур сиригэр туох эмэ улахан саахал буоллун?","2025-02-11T12:27:18.975822Z"
