id;keep;a1;a2;lang_ok;noise;notes;text
14143;yes;negative;negative;yes;no;unreadable;Мин тел нен,уе киирэр буолан были проблемы с мини-оперой
22611;yes;neutral;neutral;yes;no;;Урут 6 тыь
3843;yes;negative;neutral;yes;no;;Этээппин оҕолуу хомойуоҥ,
2907;yes;negative;negative;yes;no;;Опекунстванан ылбыт ийэм быраата а5ам тэнэ киhи былырыын массына5а аварияланан 8лбvтэ
21540;yes;positive;neutral;yes;no;;Суурэн, кетен иьэри икки хараххынан керен опережениялаан ытахын, оччохо сыалгын булларахын
21704;yes;neutral;neutral;yes;no;;Онон 11-тэн дьэ биллиэ сиикэрэлээн
6946;yes;neutral;neutral;yes;no;;МВЯ - 2011 кыттан эрэбин
15035;yes;positive;positive;yes;no;;мин дойдубар кэлэн астына дуоьуйа ахн сылдьабн))))) тох да наадата сох~)))) кимнэх 8сс8 бааргытый
5814;yes;neutral;neutral;yes;no;;сааһа 40-тэ буолуон сөп
24437;yes;negative;neutral;yes;no;;буолар выстапкаларга саха ыта наар бутэьиккэ рингэлэнэр,ааьан иьэн диэбит курдук,туох та промердааьын энин диэн суох,харах холуйуутунан,уонна саха ыта манан эрэ буолуохтаах диэн сыыьа ойдобул баар
7793;yes;positive;neutral;yes;no;;Горохова сардаана диэн баара дии,абытайдаах кыыс
3834;yes;neutral;neutral;yes;no;;Түөрт диэн түөрт,
13995;yes;positive;positive;yes;no;;Олус учугэйдик суруйбуккун
7416;yes;negative;negative;yes;no;;Аполлон биьиги кэккэбитигэр хомойуох иьин суох(((, Кутилова Москва5а кеспут
10852;yes;positive;positive;yes;no;;Сана дьылынан, ороьооспонон, крещениенан оссо ыьыах чугаьаабытынан (на всякий случай)
26716;yes;negative;positive;yes;no;;Арааста, «били ас» кыаттарбакка кэтэһэ сыппыт бадахтаах
428;yes;positive;positive;yes;no;;Уонна туохтан да иннибэккэ дьиэ-уот улэтин аа-дьуо оноро сылдьыам эте
17097;yes;neutral;neutral;yes;no;;НАҺАА улахан, үрдүк тыатаа5ы эбит
11286;yes;positive;positive;yes;no;;барааччылар кытаатан миэстэлэ4эн кэлин диэн ал5ыыбыт
2904;yes;negative;neutral;yes;no;;Бvгvн киhи баар сарсын уже суох
3047;yes;positive;positive;yes;no;;сотору кэминэн куус комо буолуохтара ди, билигин да комолоьоллоро буолуо
26013;yes;negative;neutral;yes;no;irony;ол үс-түөрт киһиттэн биирдэстэрин - илэ Саха Тылын таҥаратын курдук көрөр дьон баар ээ)
2346;yes;negative;positive;yes;no;;Мин олохпун уонна тиллиибин ким Миигин итэҕэйбит өллөҕүнэ да Мин бүтэһик күҥҥэ тилиннэриэм диир
2533;yes;negative;negative;yes;no;;, эчи ынырыгын
7581;yes;neutral;neutral;yes;no;;Аполлон туох буолбутай
14147;yes;negative;neutral;yes;no;;Билин,н,и эдэр ыччат оннук мустан оонньуу-к8рулуу сылдьарын к8р8 иликпин
10125;yes;negative;neutral;yes;no;;чэ,соседтар наьаа кыыьырсыман
25922;yes;neutral;neutral;yes;no;;Түннүгүм анныгар түспүтэ
22439;yes;neutral;neutral;yes;no;;Ол журналы керен биэрэллэр буолла5а
4843;yes;neutral;neutral;yes;no;;Чаппанда оскуолатын бутэрбиттэр, атын тыа о±олоро эмиэ – бары оччолорго со±отох орто оскуола±а (1 №-дээх оскуола±а) киирэр этибит
8882;yes;positive;neutral;yes;no;;Таатталар талах курдаахпыт
8764;yes;neutral;neutral;yes;no;;5 киьибит правительство5а улэлииллэр дии
